species,input_area,lh_param,data_area,method_or_source,estimate,version
pacific sleeper_shark,BC,agemat_yr,NA,NA,NA,1
pacific sleeper_shark,BC,gsi,NA,NA,NA,1
pacific sleeper_shark,BC,maxage_yr,NA,NA,NA,1
pacific sleeper_shark,BC,vbgf_k_cm-1,NA,NA,NA,1
pacific sleeper_shark,BC,vbgf_linf_cm,NA,NA,NA,1
pacific sleeper_shark,GOA,agemat_yr,NA,NA,NA,1
pacific sleeper_shark,GOA,gsi,NA,NA,NA,1
pacific sleeper_shark,GOA,maxage_yr,NA,NA,NA,1
pacific sleeper_shark,GOA,vbgf_k_cm-1,NA,NA,NA,1
pacific sleeper_shark,GOA,vbgf_linf_cm,NA,NA,NA,1
pacific sleeper_shark,multi_region,agemat_yr,N Atlantic,Nielsen et al. 2019,156,1
pacific sleeper_shark,multi_region,agemat_yr,N Atlantic,Nielsen et al. 2020,134,2
pacific sleeper_shark,multi_region,agemat_yr,N Atlantic,Nielsen et al. 2021,178,3
pacific sleeper_shark,multi_region,gsi,NA,NA,NA,1
pacific sleeper_shark,multi_region,maxage_yr,NA,Courtney 2016,100,1
pacific sleeper_shark,multi_region,maxage_yr,N Atlantic,Nielsen et al. 2016,392,2
pacific sleeper_shark,multi_region,maxage_yr,N Atlantic,Nielsen et al. 2017,512,3
pacific sleeper_shark,multi_region,maxage_yr,N Atlantic,Nielsen et al. 2018,272,4
pacific sleeper_shark,multi_region,vbgf_k_cm-1,NA,NA,NA,1
pacific sleeper_shark,multi_region,vbgf_linf_cm,NA,NA,NA,1
pacific sleeper_shark,NWP,agemat_yr,NA,NA,NA,1
pacific sleeper_shark,NWP,gsi,NA,NA,NA,1
pacific sleeper_shark,NWP,maxage_yr,NA,NA,NA,1
pacific sleeper_shark,NWP,vbgf_k_cm-1,NA,NA,NA,1
pacific sleeper_shark,NWP,vbgf_linf_cm,NA,NA,NA,1
pacific sleeper_shark,WC,agemat_yr,NA,NA,NA,1
pacific sleeper_shark,WC,gsi,NA,NA,NA,1
pacific sleeper_shark,WC,maxage_yr,NA,NA,NA,1
pacific sleeper_shark,WC,vbgf_k_cm-1,NA,NA,NA,1
pacific sleeper_shark,WC,vbgf_linf_cm,NA,NA,NA,1
salmon shark,BC,agemat_yr,NA,NA,NA,1
salmon shark,BC,gsi,NA,NA,NA,1
salmon shark,BC,maxage_yr,NA,NA,NA,1
salmon shark,BC,vbgf_k_cm-1,NA,NA,NA,1
salmon shark,BC,vbgf_linf_cm,NA,NA,NA,1
salmon shark,GOA,agemat_yr,NA,NA,NA,1
salmon shark,GOA,gsi,NA,NA,NA,1
salmon shark,GOA,maxage_yr,NA,NA,NA,1
salmon shark,GOA,vbgf_k_cm-1,NA,NA,NA,1
salmon shark,GOA,vbgf_linf_cm,NA,NA,NA,1
salmon shark,multi_region,agemat_yr,NA,NA,NA,1
salmon shark,multi_region,gsi,NA,NA,NA,1
salmon shark,multi_region,maxage_yr,Alaska,Goldman 2006,20,1
salmon shark,multi_region,maxage_yr,California to SE Alaska,Goldman 2006,5,2
salmon shark,multi_region,vbgf_k_cm-1,NE Pacific,Goldman and Music 2006,0.23,1
salmon shark,multi_region,vbgf_linf_cm,NE Pacific,Goldman and Music 2006,-1.9,1
salmon shark,NWP,agemat_yr,NA,NA,NA,1
salmon shark,NWP,gsi,NA,NA,NA,1
salmon shark,NWP,maxage_yr,NA,NA,NA,1
salmon shark,NWP,vbgf_k_cm-1,NW Pacific,Tanaka 1980,0.17,1
salmon shark,NWP,vbgf_linf_cm,NW Pacific,Tanaka 1980,180,1
salmon shark,WC,agemat_yr,NA,NA,NA,1
salmon shark,WC,gsi,NA,NA,NA,1
salmon shark,WC,maxage_yr,NA,NA,NA,1
salmon shark,WC,vbgf_k_cm-1,NA,NA,NA,1
salmon shark,WC,vbgf_linf_cm,NA,NA,NA,1
spiny dogfish,BC,agemat_yr,BC,Saunders and McFarlane 1993,35.5,1
spiny dogfish,BC,agemat_yr,BC,Jones and Geen 1977,29,2
spiny dogfish,BC,agemat_yr,Hecate ST/BC,Ketchen 1972,34,3
spiny dogfish,BC,agemat_yr,BC,Smith 1998,25,4
spiny dogfish,BC,gsi,NA,NA,NA,1
spiny dogfish,BC,maxage_yr,BC,Smith 1998 (Hoenig 1983),70,1
spiny dogfish,BC,maxage_yr,BC,Saunders and McFarlane 1993,81,2
spiny dogfish,BC,maxage_yr,BC,G. McFarlane (pers comm),107,3
spiny dogfish,BC,maxage_yr,BC,Smith 1998,70,4
spiny dogfish,BC,maxage_yr,BC,Munk 2001,66,5
spiny dogfish,BC,vbgf_k_cm-1,Hecate ST/BC,Ketchen 1972,0.031,1
spiny dogfish,BC,vbgf_k_cm-1,BC,Saunders and McFarlane 1993,0.0437,2
spiny dogfish,BC,vbgf_linf_cm,Hecate ST/BC,Ketchen 1972,125.1,1
spiny dogfish,BC,vbgf_linf_cm,BC,Saunders and McFarlane 1993,114.94,2
spiny dogfish,GOA,agemat_yr,GOA,Tribuzio et al. 2010,36.1,1
spiny dogfish,GOA,agemat_yr,GOA,Tribuzio and Kruse 2012,36,2
spiny dogfish,GOA,gsi,GOA,Tribuzio and Kruse 2012,0.04,1
spiny dogfish,GOA,maxage_yr,GOA,C Tribuzio per observation,48,1
spiny dogfish,GOA,vbgf_k_cm-1,GOA,Tribuzio et al. 2010,0.034,1
spiny dogfish,GOA,vbgf_k_cm-1,GOA,Tribuzio 2010,0.034,2
spiny dogfish,GOA,vbgf_linf_cm,GOA,Tribuzio et al. 2010,121.4,1
spiny dogfish,GOA,vbgf_linf_cm,GOA,Tribuzio 2010,121.4,2
spiny dogfish,multi_region,agemat_yr,NA,NA,NA,1
spiny dogfish,multi_region,gsi,NA,NA,NA,1
spiny dogfish,multi_region,maxage_yr,NA,NA,NA,1
spiny dogfish,multi_region,vbgf_k_cm-1,NA,NA,NA,1
spiny dogfish,multi_region,vbgf_linf_cm,NA,NA,NA,1
spiny dogfish,NWP,agemat_yr,NA,NA,NA,1
spiny dogfish,NWP,gsi,NA,NA,NA,1
spiny dogfish,NWP,maxage_yr,NA,NA,NA,1
spiny dogfish,NWP,vbgf_k_cm-1,NA,NA,NA,1
spiny dogfish,NWP,vbgf_linf_cm,NA,NA,NA,1
spiny dogfish,WC,agemat_yr,WC,Richards 2005,28,1
spiny dogfish,WC,gsi,NA,NA,NA,1
spiny dogfish,WC,maxage_yr,WOC,AFSC max age,88,1
spiny dogfish,WC,maxage_yr,WOC,AFSC mean top 5,81.6,2
spiny dogfish,WC,vbgf_k_cm-1,WC,Richards 2005,0.0201,1
spiny dogfish,WC,vbgf_linf_cm,WC,Richards 2005,163.63,1
