area,source,year,common_name,sex,age,length,gear
BS,RACEBASE,2007,alaska skate,M,8,74,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,10,91,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,6,68,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,10,82,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,9,86,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,12,102,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,12,97,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,7,75,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,10,93,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,9,79,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,5,54,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,5,59,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,5,63,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,10,81,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,10,85,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,12,105,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,11,87,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,5,52,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,5,56,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,8,74,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,4,46,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,3,44,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,11,97,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,2,41,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,6,60,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,2,37,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,13,101,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,7,68,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,5,48,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,1,29,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,1,30,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,1,34,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,9,83,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,6,51,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,9,95,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,6,72,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,7,77,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,6,66,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,4,51,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,6,65,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,7,61,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,5,56,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,10,106,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,1,30,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,12,101,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,1,29,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,2,38,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,3,40,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,1,33,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,1,28,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,2,36,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,5,55,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,4,48,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,12,91,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,7,62,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,12,95,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,4,48,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,10,78,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,9,81,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,8,70,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,10,104,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,10,86,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,4,43,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,11,87,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,12,111,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,11,97,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,12,104,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,13,103,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,11,107,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,9,99,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,10,102,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,9,76,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,11,82,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,10,97,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,11,104,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,3,39,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,1,28,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,3,43,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,2,45,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,13,97,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,9,88,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,12,95,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,14,99,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,2,39,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,2,40,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,15,106,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,10,96,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,1,35,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,14,105,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,13,93,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,6,58,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,11,88,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,8,77,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,6,56,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,4,54,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,13,95,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,5,53,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,13,99,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,5,51,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,12,85,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,5,66,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,5,63,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,3,41,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,10,83,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,13,102,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,10,84,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,2,39,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,9,80,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,5,50,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,6,58,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,7,71,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,6,57,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,3,45,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,3,40,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,6,72,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,8,63,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,5,49,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,5,48,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,11,94,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,8,74,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,7,60,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,9,73,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,2,38,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,7,66,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,8,67,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,7,68,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,11,91,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,1,34,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,7,62,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,7,79,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,7,85,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,11,78,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,13,99,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,9,95,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,13,105,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,10,93,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,8,83,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,9,89,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,8,82,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,11,91,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,8,68,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,5,68,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,16,102,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,6,72,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,13,100,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,6,72,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,9,76,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,5,63,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,4,52,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,5,56,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,7,64,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,4,57,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,4,54,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,14,110,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,3,45,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,4,49,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,3,43,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,1,30,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,1,29,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,1,36,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,3,42,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,1,33,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,3,46,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,15,99,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,12,113,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,12,99,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,10,101,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,12,107,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,14,112,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,14,105,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,18,103,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,12,88,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,5,62,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,11,98,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,6,71,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,4,51,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,4,45,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,3,37,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,2,34,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,1,28,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,6,52,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,2,37,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,5,55,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,12,100,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,3,43,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,M,13,92,AFSC bottom trawl survey
BS,RACEBASE,2007,alaska skate,F,4,40,AFSC bottom trawl survey
