species,version,M_method,NWP,GOA,BS,BC,WC,multi_region
alaska skate,1,amax,NA,NA,0.2076923076923077,NA,NA,NA
alaska skate,2,amax,NA,NA,0.30000000000000004,NA,NA,NA
alaska skate,3,amax,NA,NA,0.31764705882352945,NA,NA,NA
alaska skate,1,lvb,NA,NA,0.13391077343120814,NA,NA,NA
aleutian skate,1,amax,NA,0.28421052631578947,0.31764705882352945,NA,NA,NA
aleutian skate,1,lvb,NA,0.15370885511035864,0.1728988378551574,NA,NA,NA
aleutian skate,2,lvb,NA,0.2023116009448813,0.1837149089342341,NA,NA,NA
aleutian skate,3,lvb,NA,NA,0.15052708617317617,NA,NA,NA
aleutian skate,4,lvb,NA,NA,0.14991152457495527,NA,NA,NA
bering skate,1,amax,NA,0.2571428571428572,0.2571428571428572,NA,NA,NA
bering skate,1,lvb,NA,0.11177292589962726,0.12966688261945816,NA,NA,NA
bering skate,2,lvb,NA,0.11029963323405229,0.12702634976646765,NA,NA,NA
big skate,1,amax,NA,0.4153846153846154,NA,0.2076923076923077,0.45,NA
big skate,2,amax,NA,0.44383561643835623,NA,0.2076923076923077,NA,NA
big skate,3,amax,NA,0.38571428571428573,NA,NA,NA,NA
big skate,1,lvb,NA,0.10510625065820242,NA,0.060122210622574494,NA,NA
big skate,2,lvb,NA,NA,NA,0.026959499151095388,NA,NA
big skate,3,lvb,NA,NA,NA,0.10063393310100129,NA,NA
big skate,4,lvb,NA,NA,NA,0.060122210622574494,NA,NA
big skate,5,lvb,NA,NA,NA,0.06012897206244981,NA,NA
blue shark,1,lvb,NA,NA,NA,NA,NA,0.16992109720809564
blue shark,2,lvb,NA,NA,NA,NA,NA,0.2449084682075326
blue shark,3,lvb,NA,NA,NA,NA,NA,0.1484523925338889
commander skate,1,amax,NA,NA,0.1542857142857143,NA,NA,NA
commander skate,2,amax,NA,NA,0.16875,NA,NA,NA
commander skate,3,amax,NA,NA,0.16875,NA,NA,NA
commander skate,1,lvb,NA,NA,0.08091970095524438,NA,NA,NA
commander skate,2,lvb,NA,NA,0.08875672072023201,NA,NA,NA
commander skate,3,lvb,NA,NA,0.08068544168449845,NA,NA,NA
longnose skate,1,amax,NA,0.23478260869565218,NA,0.2076923076923077,0.24545454545454548,0.27
longnose skate,2,amax,NA,0.24868421052631579,NA,0.2076923076923077,0.28421052631578947,NA
longnose skate,3,amax,NA,0.30000000000000004,NA,NA,0.24545454545454548,NA
longnose skate,4,amax,NA,0.225,NA,NA,0.23478260869565218,NA
longnose skate,5,amax,NA,NA,NA,NA,0.3375,NA
longnose skate,6,amax,NA,NA,NA,NA,0.45,NA
longnose skate,1,gsi,NA,NA,NA,NA,0.029617099999999997,NA
longnose skate,1,lvb,NA,0.06330722650454053,NA,0.10388799817604193,0.06714493353766862,0.06602313849444441
longnose skate,2,lvb,NA,0.06095484945413107,NA,0.04859206750491515,0.08457921709826113,NA
longnose skate,3,lvb,NA,NA,NA,NA,0.2324165254074117,NA
mud skate,1,amax,NA,NA,0.38571428571428573,NA,NA,NA
mud skate,2,amax,NA,NA,0.38571428571428573,NA,NA,NA
mud skate,1,lvb,NA,NA,0.19009677523280444,NA,NA,NA
mud skate,2,lvb,NA,NA,0.22309229532924246,NA,NA,NA
pacific sleeper_shark,1,amax,NA,NA,NA,NA,NA,0.054000000000000006
pacific sleeper_shark,2,amax,NA,NA,NA,NA,NA,0.013775510204081633
pacific sleeper_shark,3,amax,NA,NA,NA,NA,NA,0.010546875
pacific sleeper_shark,4,amax,NA,NA,NA,NA,NA,0.01985294117647059
roughtail skate,1,amax,NA,NA,0.18000000000000002,NA,0.31764705882352945,NA
roughtail skate,2,amax,NA,NA,0.15000000000000002,NA,NA,NA
roughtail skate,3,amax,NA,NA,0.15000000000000002,NA,NA,NA
roughtail skate,1,lvb,NA,NA,0.055626132001846476,NA,0.11104770776291752,NA
roughtail skate,2,lvb,NA,NA,0.03036304342140112,NA,NA,NA
roughtail skate,3,lvb,NA,NA,0.03646806188605079,NA,NA,NA
salmon shark,1,amax,NA,NA,NA,NA,NA,0.27
salmon shark,2,amax,NA,NA,NA,NA,NA,1.08
salmon shark,1,lvb,0.20315597872188204,NA,NA,NA,NA,NA
sandpaper skate,1,amax,NA,NA,NA,NA,0.31764705882352945,0.4153846153846154
sandpaper skate,1,lvb,NA,NA,NA,NA,0.34891850158940085,NA
spiny dogfish,1,amax,NA,0.1125,NA,0.07714285714285715,0.06136363636363637,NA
spiny dogfish,2,amax,NA,NA,NA,0.06666666666666667,0.06617647058823531,NA
spiny dogfish,3,amax,NA,NA,NA,0.05046728971962617,NA,NA
spiny dogfish,4,amax,NA,NA,NA,0.07714285714285715,NA,NA
