species,area,version,data_input,data_input_values,M_estimate,references
alaska skate,BS,1,Max age (y),26,0.208,AFSC max age
alaska skate,BS,2,Max age (y),18,0.300,AFSC mean top 5
alaska skate,BS,3,Max age (y),17,0.318,Matta and Gunderson 2007
alaska skate,BS,1,VBGF Linf (cm) / k,144.6 / 0.087,0.134,Matta and Gunderson 2007
aleutian skate,BS,1,Max age (y),17,0.318,Haas 2011
aleutian skate,BS,1,VBGF Linf (cm) / k,162.1 / 0.130,0.173,Haas 2011
aleutian skate,BS,2,NA,NA,0.184,Ebert et al. 2007
aleutian skate,BS,3,NA,NA,0.151,Haas 2011
aleutian skate,BS,4,VBGF Linf (cm) / k,172.6 / 0.110,0.150,Ebert et al. 2007
aleutian skate,GOA,1,Max age (y),19,0.284,Haas 2011
aleutian skate,GOA,1,VBGF Linf (cm) / k,160.0 / 0.110,0.154,Haas 2011
aleutian skate,GOA,2,VBGF Linf (cm) / k,138.2 / 0.150,0.202,Haas 2011
bering skate,BS,1,Max age (y),21,0.257,Ainsley 2014
bering skate,BS,1,VBGF Linf (cm) / k,104.9 / 0.072,0.130,Ainsley 2009
bering skate,BS,2,VBGF Linf (cm) / k,104.9 / 0.070,0.127,Ainsley 2014
bering skate,GOA,1,Max age (y),21,0.257,Ainsley 2014
bering skate,GOA,1,VBGF Linf (cm) / k,114.4 / 0.061,0.112,Ainsley 2009
bering skate,GOA,2,VBGF Linf (cm) / k,114.4 / 0.060,0.110,Ainsley 2014
big skate,BC,1,Max age (y),26,0.208,Gburski 2007
big skate,BC,2,Max age (y),26,0.208,McFarlane et al. 2006
big skate,BC,1,VBGF Linf (cm) / k,293.5 / 0.040,0.060,Gburski 2007
big skate,BC,2,VBGF Linf (cm) / k,719.8 / 0.020,0.027,"King 2010, GROTAG"
big skate,BC,3,VBGF Linf (cm) / k,151.1 / 0.060,0.101,"King 2010, Fabens"
big skate,BC,4,VBGF Linf (cm) / k,293.5 / 0.040,0.060,McFarlane et al. 2006
big skate,BC,5,VBGF Linf (cm) / k,293.4 / 0.040,0.060,McFarlane et al. 2010
big skate,GOA,1,Max age (y),13,0.415,AFSC max age
big skate,GOA,2,Max age (y),12,0.444,AFSC mean top 5
big skate,GOA,3,Max age (y),14,0.386,Gburski 2007
big skate,GOA,1,VBGF Linf (cm) / k,247.5 / 0.080,0.105,Gburski 2007
big skate,WC,1,Max age (y),12,0.450,Zeiner and Wolf 1993
blue shark,North Pacific,1,VBGF Linf (cm) / k,317.4 / 0.172,0.170,Hsu et al. 2011
blue shark,North Pacific,2,VBGF Linf (cm) / k,241.9 / 0.251,0.245,Cailliet and Bedford 1983
blue shark,North Pacific,3,VBGF Linf (cm) / k,322.6 / 0.144,0.148,Nakano 1994
commander skate,BS,1,Max age (y),35,0.154,Maurer 2009
