species,area,M_method,data_input,data_input_values,M_estimate,references
alaska skate,BS,amax.v1,Max age (y),26,0.208,AFSC max age
alaska skate,BS,amax.v2,Max age (y),18,0.300,AFSC mean top 5
alaska skate,BS,amax.v3,Max age (y),17,0.318,Matta and Gunderson 2007
aleutian skate,BS,amax.v1,Max age (y),17,0.318,Haas 2011
aleutian skate,GOA,amax.v1,Max age (y),19,0.284,Haas 2011
bering skate,BS,amax.v1,Max age (y),21,0.257,Ainsley 2014
bering skate,GOA,amax.v1,Max age (y),21,0.257,Ainsley 2014
big skate,BC,amax.v1,Max age (y),26,0.208,Gburski 2007
big skate,BC,amax.v2,Max age (y),26,0.208,McFarlane et al. 2006
big skate,GOA,amax.v1,Max age (y),13,0.415,AFSC max age
big skate,GOA,amax.v2,Max age (y),12,0.444,AFSC mean top 5
big skate,GOA,amax.v3,Max age (y),14,0.386,Gburski 2007
big skate,WC,amax.v1,Max age (y),12,0.450,Zeiner and Wolf 1993
commander skate,BS,amax.v1,Max age (y),35,0.154,"Maurer 2009, overall"
commander skate,BS,amax.v2,Max age (y),32,0.169,"Maurer 2009, gross"
longnose skate,BC,amax.v1,Max age (y),26,0.208,Gburski 2007
longnose skate,GOA,amax.v1,Max age (y),23,0.235,AFSC max age
longnose skate,GOA,amax.v2,Max age (y),22,0.249,AFSC mean top 5
longnose skate,GOA,amax.v3,Max age (y),18,0.300,Arrington 2020
longnose skate,GOA,amax.v4,Max age (y),24,0.225,Gburski 2007
longnose skate,"GOA, BC",amax.v1,Max age (y),20,0.270,Arrington 2020
longnose skate,WC,amax.v1,Max age (y),22,0.245,Gertseva 2019
longnose skate,WC,amax.v2,Max age (y),19,0.284,Arrington 2020
longnose skate,WC,amax.v3,Max age (y),22,0.245,Gburski 2007
longnose skate,WC,amax.v4,Max age (y),23,0.235,"Thompson 2005, north CA"
longnose skate,WC,amax.v5,Max age (y),16,0.338,"Thompson 2005, south CA"
longnose skate,WC,amax.v6,Max age (y),12,0.450,Zeiner and Wolf 1993
longnose skate,WC,gsi.v1,GSI,0.0163,0.030,Thompson 2005
mud skate,BS,amax.v1,Max age (y),14,0.386,Ebert et al. 2009
mud skate,BS,amax.v2,Max age (y),14,0.386,Ebert et al. 2009
roughtail skate,BS,amax.v1,Max age (y),30,0.180,Winton 2011 sectioning
roughtail skate,BS,amax.v2,Max age (y),36,0.150,Winton 2011 histology
roughtail skate,BS,amax.v3,Max age (y),36,0.150,Winton 2013
roughtail skate,WC,amax.v1,Max age (y),17,0.318,Davis 2006
sandpaper skate,WC,amax.v1,Max age (y),17,0.318,Perez 2010
whiteblotched skate,BS,amax.v1,Max age (y),36,0.150,Maurer 2009
whiteblotched skate,BS,amax.v2,Max age (y),32,0.169,Maurer 2009
whiteblotched skate,BS,amax.v3,Max age (y),33,0.164,Maurer 2009
whitebrow skate,BS,amax.v1,Max age (y),37,0.146,Ainsley 2011
alaska skate,BS,then.v1,VBGF Linf (cm) / k (cm-1),144.6 / 0.087,0.134,Matta and Gunderson 2007
aleutian skate,BS,then.v1,VBGF Linf (cm) / k (cm-1),162.1 / 0.130,0.173,Haas 2011
aleutian skate,BS,then.v4,VBGF Linf (cm) / k (cm-1),172.6 / 0.110,0.150,Ebert et al. 2007
aleutian skate,GOA,then.v1,VBGF Linf (cm) / k (cm-1),160.0 / 0.110,0.154,Haas 2011
aleutian skate,GOA,then.v2,VBGF Linf (cm) / k (cm-1),138.2 / 0.150,0.202,Haas 2011
bering skate,BS,then.v1,VBGF Linf (cm) / k (cm-1),104.9 / 0.072,0.130,Ainsley 2009
bering skate,BS,then.v2,VBGF Linf (cm) / k (cm-1),104.9 / 0.070,0.127,Ainsley 2014
bering skate,GOA,then.v1,VBGF Linf (cm) / k (cm-1),114.4 / 0.061,0.112,Ainsley 2009
bering skate,GOA,then.v2,VBGF Linf (cm) / k (cm-1),114.4 / 0.060,0.110,Ainsley 2014
big skate,BC,then.v1,VBGF Linf (cm) / k (cm-1),293.5 / 0.040,0.060,Gburski 2007
big skate,BC,then.v2,VBGF Linf (cm) / k (cm-1),719.8 / 0.020,0.027,"King 2010, GROTAG"
big skate,BC,then.v3,VBGF Linf (cm) / k (cm-1),151.1 / 0.060,0.101,"King 2010, Fabens"
big skate,BC,then.v4,VBGF Linf (cm) / k (cm-1),293.5 / 0.040,0.060,McFarlane et al. 2006
big skate,BC,then.v5,VBGF Linf (cm) / k (cm-1),293.4 / 0.040,0.060,McFarlane et al. 2010
big skate,GOA,then.v1,VBGF Linf (cm) / k (cm-1),247.5 / 0.080,0.105,Gburski 2007
commander skate,BS,then.v1,VBGF Linf (cm) / k (cm-1),132.0 / 0.042,0.081,"Maurer 2009, gross"
longnose skate,BC,then.v1,VBGF Linf (cm) / k (cm-1),137.2 / 0.060,0.104,Gburski 2007
longnose skate,GOA,then.v1,VBGF Linf (cm) / k (cm-1),251.0 / 0.040,0.063,Arrington 2020
longnose skate,GOA,then.v2,VBGF Linf (cm) / k (cm-1),234.1 / 0.037,0.061,Gburski 2007
longnose skate,"GOA, BC",then.v1,VBGF Linf (cm) / k (cm-1),221.0 / 0.040,0.066,Arrington 2020
longnose skate,WC,then.v1,VBGF Linf (cm) / k (cm-1),210.0 / 0.040,0.067,Arrington 2020
longnose skate,WC,then.v2,VBGF Linf (cm) / k (cm-1),180.9 / 0.051,0.085,Thompson 2005
longnose skate,WC,then.v3,VBGF Linf (cm) / k (cm-1),104.7 / 0.160,0.232,Zeiner and Wolf 1993
mud skate,BS,then.v1,VBGF Linf (cm) / k (cm-1),85.4 / 0.111,0.190,Ebert et al. 2009
mud skate,BS,then.v2,VBGF Linf (cm) / k (cm-1),78.1 / 0.132,0.223,Ebert et al. 2009
roughtail skate,BS,then.v1,VBGF Linf (cm) / k (cm-1),1050.6 / 0.064,0.056,Winton 2011 sectioning
roughtail skate,BS,then.v2,VBGF Linf (cm) / k (cm-1),1323.7 / 0.031,0.030,Winton 2011 histology
roughtail skate,BS,then.v3,VBGF Linf (cm) / k (cm-1),1192.0 / 0.038,0.036,Winton 2011
roughtail skate,WC,then.v1,VBGF Linf (cm) / k (cm-1),112.1 / 0.060,0.111,Davis 2006
sandpaper skate,WC,then.v1,VBGF Linf (cm) / k (cm-1),55.8 / 0.210,0.349,Perez 2010
whiteblotched skate,BS,then.v1,VBGF Linf (cm) / k (cm-1),169.6 / 0.020,0.043,Maurer 2009
whiteblotched skate,BS,then.v2,VBGF Linf (cm) / k (cm-1),169.6 / 0.026,0.053,Maurer 2009
whiteblotched skate,BS,then.v3,VBGF Linf (cm) / k (cm-1),155.6 / 0.036,0.069,Maurer 2009
whitebrow skate,BS,then.v1,VBGF Linf (cm) / k (cm-1),171.9 / 0.016,0.037,Ainsley 2011
alaska skate,BS,frisk_tmat.v1,Age at Maturity (yr),10.0,0.159,Matta and Gunderson 2007
aleutian skate,BS,frisk_tmat.v1,Age at Maturity (yr),10.2,0.157,Ebert et al. 2007
big skate,BC,frisk_tmat.v1,Age at Maturity (yr),8.0,0.186,McFarlane et al. 2006
commander skate,BS,frisk_tmat.v1,Age at Maturity (yr),21.1,0.090,"Maurer 2009, histo"
commander skate,BS,frisk_tmat.v2,Age at Maturity (yr),17.5,0.104,"Maurer 2009, gross"
longnose skate,GOA,frisk_tmat.v1,Age at Maturity (yr),13.0,0.132,Arrington 2020
longnose skate,"GOA, BC",frisk_tmat.v1,Age at Maturity (yr),13.0,0.132,Arrington 2020
longnose skate,WC,frisk_tmat.v1,Age at Maturity (yr),12.0,0.140,Arrington 2020
mud skate,BS,frisk_tmat.v1,Age at Maturity (yr),9.1,0.170,Ebert et al. 2009
roughtail skate,BS,frisk_tmat.v1,Age at Maturity (yr),24.7,0.079,Winton 2013
roughtail skate,WC,frisk_tmat.v1,Age at Maturity (yr),14.0,0.125,Davis 2006
whiteblotched skate,BS,frisk_tmat.v1,Age at Maturity (yr),26.0,0.075,Maurer 2009
whiteblotched skate,BS,frisk_tmat.v2,Age at Maturity (yr),22.0,0.087,Maurer 2009
whiteblotched skate,BS,frisk_tmat.v3,Age at Maturity (yr),26.0,0.075,Maurer 2009
whiteblotched skate,BS,frisk_tmat.v4,Age at Maturity (yr),22.0,0.087,Maurer 2009
whitebrow skate,BS,frisk_tmat.v1,Age at Maturity (yr),24.0,0.080,Ainsley 2011
alaska skate,BS,hamel_k.v1,VBGF k (cm-1),0.087,0.153,Matta and Gunderson 2007
alaska skate,BS,jensen_k1.v1,VBGF k (cm-1),0.087,0.130,Matta and Gunderson 2007
alaska skate,BS,jensen_k2.v1,VBGF k (cm-1),0.087,0.139,Matta and Gunderson 2007
alaska skate,BS,frisk_k.v1,VBGF k (cm-1),0.087,0.156,Matta and Gunderson 2007
aleutian skate,BS,hamel_k.v1,VBGF k (cm-1),0.130,0.228,Haas 2011
aleutian skate,BS,hamel_k.v4,VBGF k (cm-1),0.110,0.193,Ebert et al. 2007
aleutian skate,BS,jensen_k1.v1,VBGF k (cm-1),0.130,0.195,Haas 2011
aleutian skate,BS,jensen_k1.v4,VBGF k (cm-1),0.110,0.165,Ebert et al. 2007
