Species,Region,Year sampled,Sex,Age (yr),Fork length (cm),Gear,Source
Alaska skate,BS,2008,F,26,137,AFSC bottom trawl survey,RACEBASE
Alaska skate,BS,2007,F,20,110,AFSC bottom trawl survey,RACEBASE
Alaska skate,BS,2007,F,18,103,AFSC bottom trawl survey,RACEBASE
Alaska skate,BS,2007,F,18,105,AFSC bottom trawl survey,RACEBASE
Alaska skate,BS,2007,F,16,102,AFSC bottom trawl survey,RACEBASE
Alaska skate,BS,2007,F,16,112,AFSC bottom trawl survey,RACEBASE
Alaska skate,BS,2007,M,16,106,AFSC bottom trawl survey,RACEBASE
Alaska skate,BS,2007,F,16,111,AFSC bottom trawl survey,RACEBASE
Alaska skate,BS,2009,F,16,104,AFSC bottom trawl survey,RACEBASE
longnose skate,GOA,2009,M,23,120,AFSC bottom trawl survey,RACEBASE
longnose skate,GOA,2009,M,22,120,AFSC bottom trawl survey,RACEBASE
longnose skate,GOA,2009,F,22,139,AFSC bottom trawl survey,RACEBASE
longnose skate,GOA,2009,M,22,119,AFSC bottom trawl survey,RACEBASE
longnose skate,GOA,2009,F,21,138,AFSC bottom trawl survey,RACEBASE
longnose skate,GOA,2009,F,21,137,AFSC bottom trawl survey,RACEBASE
longnose skate,GOA,2009,M,21,130,AFSC bottom trawl survey,RACEBASE
big skate,GOA,2015,F,13,174,AFSC bottom trawl survey,RACEBASE
big skate,GOA,2015,F,13,130,AFSC bottom trawl survey,RACEBASE
big skate,GOA,2009,F,12,158,AFSC bottom trawl survey,RACEBASE
big skate,GOA,2009,M,12,120,AFSC bottom trawl survey,RACEBASE
big skate,GOA,2015,F,12,185,AFSC bottom trawl survey,RACEBASE
big skate,GOA,2015,F,12,188,AFSC bottom trawl survey,RACEBASE
big skate,GOA,2015,F,12,170,AFSC bottom trawl survey,RACEBASE
big skate,GOA,2015,F,12,163,AFSC bottom trawl survey,RACEBASE
big skate,GOA,2015,F,12,179,AFSC bottom trawl survey,RACEBASE
big skate,GOA,2015,F,12,168,AFSC bottom trawl survey,RACEBASE
big skate,GOA,2015,F,12,166,AFSC bottom trawl survey,RACEBASE
big skate,GOA,2015,F,12,185,AFSC bottom trawl survey,RACEBASE
spiny dogfish,WOC,2007,F,88,100,Pelagic trawl fishery,NORPAC
spiny dogfish,WOC,2009,F,86,104,Pelagic trawl fishery,NORPAC
spiny dogfish,WOC,2007,M,81,95,Pelagic trawl fishery,NORPAC
spiny dogfish,WOC,2008,F,77,85,Pelagic trawl fishery,NORPAC
spiny dogfish,WOC,2008,F,76,93,Pelagic trawl fishery,NORPAC
